Wall time,Step,Value
1645112178.6768863,2263,5.572749614715576
1645112246.1154296,3210,5.339087963104248
1645112259.5426207,3407,5.261269569396973
1645112394.0071223,5289,4.7332682609558105
1645112453.697748,6118,4.635738372802734
1645112493.8364303,6710,5.162544250488281
1645112538.2832353,7315,4.532919406890869
1645112573.9753647,7842,4.722506046295166
1645112632.6028566,8657,4.503735542297363
1645112769.5965903,10578,4.352588176727295
1645112828.5234826,11394,4.334257125854492
1645112978.7564251,13500,4.239189147949219
1645112988.575473,13644,4.104636192321777
1645113076.6560707,14894,3.970871686935425
1645113126.67572,15578,3.6826252937316895
1645113207.5184565,16723,3.5950465202331543
1645113344.5173182,18644,3.719625949859619
1645113384.2215598,19184,3.199406862258911
1645113416.3828664,19657,3.5053796768188477
1645113430.6640697,19868,3.4560418128967285
1645113467.8646038,20368,2.844644069671631
1645113483.054569,20592,2.8313026428222656
1645113579.9508328,21973,2.995798110961914
1645113834.414723,25526,2.805047035217285
1645113852.2758303,25789,2.7300546169281006
1645114298.229936,32052,2.6102404594421387
1645114302.6687856,32118,2.497119903564453
1645114321.3481913,32394,2.266723155975342
1645114357.8254545,32934,2.66162109375
1645114427.2594051,33907,2.4307496547698975
1645114489.4542248,34776,2.476285457611084
1645114527.5644703,35315,2.3148062229156494
1645114535.6294403,35434,2.7329180240631104
1645114549.1017148,35631,2.383080005645752
1645114557.1305292,35750,2.626237392425537
1645114605.756151,36421,2.1432809829711914
1645114798.3889062,39118,2.3854141235351562
1645114899.9188359,40565,2.664073944091797
1645114918.6731768,40842,2.210486650466919
1645114919.5635068,40855,2.266199827194214
1645114956.5640352,41381,2.4502968788146973
1645115043.6429667,42644,2.9129977226257324
1645115065.0288951,42960,2.4259350299835205
1645115152.7157106,44157,2.358787775039673
1645115285.6532764,46052,2.1433706283569336
1645115344.4811506,46921,1.801675796508789
1645115378.2834287,47368,1.9982554912567139
1645115392.5987952,47578,1.8769187927246094
1645115429.8280227,48078,2.402757167816162
1645115442.2713895,48263,2.171628475189209
1645115444.9670165,48302,2.140958309173584
1645115609.317329,50631,2.3923091888427734
1645115673.744418,51513,2.0433359146118164
1645115771.6115487,52934,2.1547718048095703
1645115855.0688248,54065,2.0821635723114014
1645115865.745639,54223,2.1726901531219482
1645115922.3659883,55013,2.335752010345459
1645115932.1385784,55157,1.9178094863891602
1645115963.396134,55618,2.013441562652588
1645116047.932257,56815,2.419346332550049
1645116056.8143353,56947,2.1868069171905518
1645116279.2338333,60052,2.2297005653381348
1645116394.983463,61710,1.4899818897247314
1645116528.4307618,63578,1.879649043083191
1645116531.9978588,63631,1.566132664680481
1645116768.6182342,66973,1.7229664325714111
1645116811.3336506,67578,1.775841474533081
1645116859.9845762,68250,1.66921067237854
1645116871.5732803,68421,1.826139211654663
1645116930.1093633,69236,1.6289963722229004
1645116959.598367,69671,1.590440273284912
1645117022.8505065,70552,2.061708450317383
1645117108.280754,71763,1.7155042886734009
1645117306.4873602,74565,1.5623316764831543
1645117460.0504236,76736,1.628455400466919
1645117493.809504,77184,2.1176133155822754
1645117505.394745,77355,1.5533162355422974
1645117597.9125028,78697,1.616500735282898
1645117612.183762,78907,1.3906331062316895
1645117665.3348203,79644,1.621605634689331
1645117744.2661555,80763,1.5355756282806396
1645117823.306024,81907,1.7311155796051025
1645117874.9238918,82618,1.6160931587219238
1645117925.4264646,83342,1.2890608310699463
1645117956.6841257,83802,1.524129867553711
1645118143.477509,86434,1.2526017427444458
1645118162.233622,86710,1.4416495561599731
1645118170.2541015,86828,1.3854933977127075
1645118293.536235,88552,1.320615291595459
1645118311.3913815,88815,1.2177259922027588
1645118405.6735058,90131,1.4877712726593018
1645118470.4697216,91039,1.414078950881958
1645118534.595198,91986,1.3427181243896484
1645118542.4349542,92052,1.5179994106292725
1645118594.0741503,92815,1.6215202808380127
1645118781.2679024,95434,1.2532882690429688
1645118951.0388663,97842,1.1655941009521484
1645118979.2382123,98210,1.0954324007034302
1645118982.7901359,98263,1.5388951301574707
1645119053.0035176,99250,1.695000410079956
1645119146.7193828,100578,1.2329623699188232
1645119225.2975538,101671,1.312646508216858
1645119227.9788651,101710,1.1969236135482788
1645119254.6816468,102052,1.240234613418579
